Name,Attendance/Record,Class,Day,Date,Edits,From/To,Topics,Type,day
EM - III,,Engineering Mathematics 6,Monday,30/08/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,31/08/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,02/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,30/08/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,03/09/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,03/09/2021,,,,📒 Lesson,
,,,,06/01/1900,,,,,
CSA,,Computer System Architecture,Monday,06/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,07/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,08/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,10/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,07/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,08/09/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,09/09/2021,,,,📒 Lesson,
Economics,,Economics,Friday,10/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,06/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 7,Tuesday,07/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,08/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 7,Friday,10/09/2021,,,,📒 Lesson,
Economics,,Economics,Monday,06/09/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,10/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,06/09/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,07/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,08/09/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,06/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,07/09/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,08/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 7,Monday,06/09/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,07/09/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,09/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,06/09/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,10/09/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,10/09/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,,Computer System Architecture,Monday,13/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,14/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,15/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,17/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,14/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,15/09/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,16/09/2021,,,,📒 Lesson,
Economics,,Economics,Friday,17/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,13/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 8,Tuesday,14/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,15/09/2021,,,,📒 Lesson,
